Contig	Average_Coverage	Min_Coverage	Max_Coverage	Median_Coverage
Chromosome-15532/2	1.00	1	1	1.0
Chromosome-60072/1	1.00	1	1	1.0
Chromosome-20240/1	1.00	1	1	1.0
Chromosome-54098/1	1.00	1	1	1.0
Chromosome-45268/1	1.00	1	1	1.0
Chromosome-22998/1	1.00	1	1	1.0
Chromosome-60670/2	1.00	1	1	1.0
Chromosome-47708/2	1.00	1	1	1.0
Chromosome-67396/2	1.00	1	1	1.0
Chromosome-72982/1	1.00	1	1	1.0
Chromosome-5036/2	1.00	1	1	1.0
Chromosome-8588/1	1.00	1	1	1.0
Chromosome-51684/2	1.00	1	1	1.0
Chromosome-51112/1	1.00	1	1	1.0
Chromosome-6424/1	1.00	1	1	1.0
Chromosome-5344/1	1.00	1	1	1.0
Chromosome-18064/1	1.00	1	1	1.0
Chromosome-3958/2	1.00	1	1	1.0
Chromosome-7288/1	1.00	1	1	1.0
Chromosome-65258/1	1.00	1	1	1.0
Chromosome-32878/1	1.00	1	1	1.0
Chromosome-3958/1	1.00	1	1	1.0
Chromosome-26556/1	1.00	1	1	1.0
Chromosome-10532/1	1.00	1	1	1.0
Chromosome-33946/2	1.00	1	1	1.0
Chromosome-6768/2	1.00	1	1	1.0
Chromosome-7134/1	1.00	1	1	1.0
Chromosome-46398/2	1.00	1	1	1.0
Chromosome-60204/1	1.00	1	1	1.0
Chromosome-68648/1	1.00	1	1	1.0
Chromosome-76920/1	1.00	1	1	1.0
Chromosome-61454/2	1.00	1	1	1.0
Chromosome-3738/2	1.00	1	1	1.0
Chromosome-23488/1	1.00	1	1	1.0
Chromosome-26108/1	1.00	1	1	1.0
Chromosome-18216/1	1.00	1	1	1.0
Chromosome-64696/1	1.00	1	1	1.0
Chromosome-36418/2	1.00	1	1	1.0
Chromosome-7942/2	1.00	1	1	1.0
Chromosome-37636/2	1.04	1	2	1.0
Chromosome-66132/2	1.00	1	1	1.0
Chromosome-66132/1	1.00	1	1	1.0
Chromosome-6424/2	1.00	1	1	1.0
Chromosome-67246/2	1.00	1	1	1.0
Chromosome-10630/1	1.00	1	1	1.0
Chromosome-28188/1	1.00	1	1	1.0
Chromosome-20394/2	1.00	1	1	1.0
Chromosome-1728/2	1.00	1	1	1.0
Chromosome-47148/2	1.00	1	1	1.0
Chromosome-7874/2	1.00	1	1	1.0
Chromosome-38108/1	1.00	1	1	1.0
Chromosome-5036/1	1.00	1	1	1.0
Chromosome-40410/1	1.00	1	1	1.0
Chromosome-2320/2	1.00	1	1	1.0
Chromosome-52380/1	1.00	1	1	1.0
Chromosome-3352/1	1.00	1	1	1.0
Chromosome-32420/1	1.00	1	1	1.0
Chromosome-42604/2	1.00	1	1	1.0
Chromosome-47356/2	1.00	1	1	1.0
Chromosome-46398/1	1.00	1	1	1.0
Chromosome-13952/2	1.00	1	1	1.0
Chromosome-16418/1	1.00	1	1	1.0
Chromosome-48642/2	1.00	1	1	1.0
